# G0W0 diagonal energies (eV)
# columns: band  E_DFT  Re[H0+Sigma_xc(E_DFT)]  Im[H0+Sigma_xc(E_DFT)]

k-point 0:
--------------------------------------------------------------------------------
n=3    E_DFT=  -42.080512  Re= -939.124743  Im=959100489.284273
n=4    E_DFT=  -39.576740  Re=   54.338518  Im=-1483980014.788504
n=5    E_DFT=  -39.576739  Re= -139.983963  Im=1468011242.235802
n=6    E_DFT=  -39.426654  Re=-2135.405775  Im=-447001752.918355
n=7    E_DFT=  -39.426654  Re=-2235.533977  Im=406110390.275512
n=8    E_DFT=  -18.084563  Re=  818.433462  Im=209352495.570664
n=9    E_DFT=  -18.084552  Re=  802.795656  Im=205478790.719512
n=10   E_DFT=  -17.638847  Re= 1462.070998  Im=148915799.431108
n=11   E_DFT=  -17.638836  Re= 1465.237133  Im=151911812.497170
n=12   E_DFT=  -10.524741  Re=  -52.699914  Im=-74769065.355837
n=13   E_DFT=  -10.524740  Re=  -59.294480  Im=-72395197.634826
n=14   E_DFT=   -9.566650  Re= -123.190083  Im=-400481795.960836
n=15   E_DFT=   -9.566643  Re= -145.741230  Im=-446676030.464532
n=16   E_DFT=   -9.176401  Re=  455.270008  Im=-239858040.311297
n=17   E_DFT=   -9.176392  Re=  444.601043  Im=-288589269.108700
n=18   E_DFT=   -8.120361  Re=  555.777071  Im=-49725121.096452
n=19   E_DFT=   -8.120360  Re=  551.559503  Im=-50381218.840905
n=20   E_DFT=   -7.044107  Re= -196.414155  Im=-81437844.621304
n=21   E_DFT=   -7.044106  Re= -218.386781  Im=-97238941.693721
n=22   E_DFT=   -6.595148  Re=  160.252050  Im=150299503.894627
n=23   E_DFT=   -6.595146  Re=  229.110789  Im=286948490.779706
n=24   E_DFT=   -6.289987  Re=  238.219639  Im=1085730499.036750
n=25   E_DFT=   -6.289985  Re=  326.048391  Im=1211716229.629238
n=26   E_DFT=   -3.056550  Re=  260.132893  Im=-320940570.720648
n=27   E_DFT=   -3.056549  Re=  454.016397  Im=-1123557341.854937
n=28   E_DFT=   -2.954672  Re= -492.178248  Im=-1278180293.978179
n=29   E_DFT=   -2.954668  Re= -412.934879  Im=-1611096710.576805
n=30   E_DFT=   -1.863694  Re= -975.278566  Im=88272494.359875
n=31   E_DFT=   -1.863690  Re=-1004.534394  Im=110761710.727249
n=32   E_DFT=   -1.263959  Re=  393.052683  Im=116260191.566598
n=33   E_DFT=   -1.263957  Re=  367.416389  Im=107162875.592651
n=34   E_DFT=    2.649821  Re=  342.178738  Im=-96877516.753665
n=35   E_DFT=    2.649826  Re=  356.016776  Im=-100089312.511513
n=36   E_DFT=    2.893174  Re=  172.542906  Im=-112510160.057426
n=37   E_DFT=    2.893184  Re=  237.679322  Im=-178657226.755842
n=38   E_DFT=    3.304528  Re=  519.872750  Im=161425947.791172
n=39   E_DFT=    3.304540  Re=  632.520239  Im=101623938.659664
n=40   E_DFT=    5.155229  Re= -419.878501  Im=-225691727.743822
n=41   E_DFT=    5.155239  Re= -419.630298  Im=-106243302.578115
n=42   E_DFT=    5.593481  Re=-1124.785428  Im=-445377162.917533
n=43   E_DFT=    5.593481  Re=-1248.455175  Im=-495455641.387818
n=44   E_DFT=    7.168486  Re= -727.934284  Im=-261429810.456324
n=45   E_DFT=    7.168486  Re= -688.818495  Im=-250658399.475210
n=46   E_DFT=    7.616631  Re= -483.982786  Im=-78704869.130643
n=47   E_DFT=    7.616641  Re= -440.292237  Im=-94931994.000358
n=48   E_DFT=    7.719607  Re= -353.325808  Im=42375237.136178
n=49   E_DFT=    7.719615  Re= -336.605383  Im=23710774.420496
n=50   E_DFT=    9.143780  Re=   48.459237  Im=20550186.358181
n=51   E_DFT=    9.143780  Re=   50.106499  Im=27285954.859037
n=52   E_DFT=    9.711152  Re= -460.131168  Im=54186837.987196
