# Sigma frequency debug decomposition (all energies in eV)
# k              		n              		Edft-Ef        		E_dft          		kin_ion        		sex_0          		coh_0          		x_bare         		sig_c(0)       		sig_c+(w)      		sig_c-(w)      		sig_c_invld(0) 		sig_c(Edft)    

k-point 0:
k              		n              		Edft-Ef        		E_dft          		kin_ion        		sex_0          		coh_0          		x_bare         		sig_c(0)       		sig_c+(w)      		sig_c-(w)      		sig_c_invld(0) 		sig_c(Edft)    
              1		             37		         23.666		         30.302		         49.776		         -1.417		         -4.702		         -1.859		         -2.197		            nan		            nan		          0.001		            nan
              1		             38		         23.667		         30.303		         49.770		         -1.417		         -4.706		         -1.859		         -2.199		            nan		            nan		          0.001		            nan
              1		             39		         23.667		         30.303		         49.770		         -1.417		         -4.700		         -1.859		         -2.196		            nan		            nan		          0.001		            nan
              1		             40		         26.310		         32.945		         48.690		         -1.442		         -5.048		         -1.961		         -2.239		            nan		            nan		          0.001		            nan
              1		             41		         26.310		         32.945		         48.690		         -1.442		         -5.044		         -1.961		         -2.237		            nan		            nan		          0.001		            nan
              1		             42		         26.351		         32.986		         48.722		         -1.442		         -5.038		         -1.960		         -2.234		            nan		            nan		          0.001		            nan
              1		             43		         26.351		         32.986		         48.722		         -1.442		         -5.042		         -1.960		         -2.236		            nan		            nan		          0.001		            nan
              1		             44		         27.515		         34.150		         53.573		         -1.383		         -4.587		         -1.820		         -2.041		            nan		            nan		          0.001		            nan
              1		             45		         27.515		         34.150		         53.573		         -1.383		         -4.587		         -1.820		         -2.041		            nan		            nan		          0.001		            nan
              1		             46		         29.097		         35.732		         46.384		         -1.317		         -4.716		         -1.713		         -2.146		            nan		            nan		          0.000		            nan
              1		             47		         29.097		         35.732		         46.384		         -1.317		         -4.716		         -1.713		         -2.146		            nan		            nan		          0.000		            nan
              1		             48		         29.715		         36.350		         43.340		         -1.457		         -5.020		         -2.015		         -2.164		            nan		            nan		          0.000		            nan
              1		             49		         29.715		         36.350		         43.340		         -1.457		         -5.020		         -2.015		         -2.164		            nan		            nan		          0.000		            nan
              1		             50		         31.504		         38.139		         46.678		         -1.253		         -4.361		         -1.583		         -1.941		            nan		            nan		         -0.000		            nan
              1		             51		         31.504		         38.139		         46.678		         -1.253		         -4.384		         -1.584		         -1.950		            nan		            nan		          0.000		            nan
              1		             52		         31.511		         38.146		         46.664		         -1.253		         -4.375		         -1.585		         -1.946		            nan		            nan		          0.000		            nan
              1		             53		         31.511		         38.146		         46.664		         -1.253		         -4.376		         -1.585		         -1.946		            nan		            nan		          0.000		            nan
              1		             54		         33.094		         39.729		         54.564		         -1.186		         -4.099		         -1.478		         -1.776		            nan		            nan		          0.000		            nan
              1		             55		         33.094		         39.729		         54.564		         -1.186		         -4.093		         -1.478		         -1.773		            nan		            nan		          0.000		            nan
              1		             56		         33.099		         39.735		         54.582		         -1.186		         -4.073		         -1.478		         -1.764		            nan		            nan		          0.000		            nan
              1		             57		         33.099		         39.735		         54.582		         -1.186		         -4.076		         -1.478		         -1.765		            nan		            nan		          0.000		            nan
              1		             58		         34.055		         40.691		         54.920		         -1.220		         -3.987		         -1.538		         -1.692		            nan		            nan		          0.000		            nan
              1		             59		         34.055		         40.691		         54.920		         -1.218		         -3.936		         -1.534		         -1.673		            nan		            nan		          0.001		            nan

k-point 2:
k              		n              		Edft-Ef        		E_dft          		kin_ion        		sex_0          		coh_0          		x_bare         		sig_c(0)       		sig_c+(w)      		sig_c-(w)      		sig_c_invld(0) 		sig_c(Edft)    
              2		              0		         -9.999		         -3.363		          5.953		         -3.547		         -8.341		        -14.132		          1.861		          6.003		         -1.561		          0.000		          4.442
              2		              1		         -9.999		         -3.363		          5.953		         -3.547		         -8.341		        -14.132		          1.861		          6.003		         -1.561		          0.000		          4.442
              2		              2		         -7.343		         -0.707		          7.039		         -2.986		         -7.919		        -12.062		          1.208		          4.760		         -1.872		          0.001		          2.889
              2		              3		         -7.343		         -0.707		          7.039		         -2.986		         -7.919		        -12.062		          1.208		          4.760		         -1.872		          0.001		          2.889
              2		              4		         -1.578		          5.057		         15.872		         -2.948		         -7.753		        -10.294		          0.526		          3.423		         -2.556		          0.002		          0.869
              2		              5		         -1.578		          5.057		         15.872		         -2.948		         -7.754		        -10.294		          0.525		          3.423		         -2.556		          0.002		          0.869
              2		              6		         -1.546		          5.089		         15.859		         -2.948		         -7.756		        -10.292		          0.525		          3.419		         -2.560		          0.002		          0.861
              2		              7		         -1.546		          5.089		         15.859		         -2.948		         -7.755		        -10.291		          0.525		          3.419		         -2.560		          0.002		          0.861
              2		              8		          1.170		          7.805		         16.136		         -2.237		         -7.551		         -5.486		         -3.163		          1.252		         -4.669		          0.000		         -3.416
              2		              9		          1.170		          7.805		         16.136		         -2.237		         -7.551		         -5.486		         -3.163		          1.252		         -4.669		          0.000		         -3.416
              2		             10		          2.959		          9.594		         17.326		         -2.116		         -7.355		         -4.832		         -3.276		          0.995		         -4.886		         -0.000		         -3.892
              2		             11		          2.959		          9.594		         17.326		         -2.116		         -7.354		         -4.831		         -3.277		          0.994		         -4.886		         -0.000		         -3.892
              2		             12		          2.974		          9.609		         17.310		         -2.116		         -7.356		         -4.832		         -3.276		          0.994		         -4.888		         -0.000		         -3.894
              2		             13		          2.974		          9.609		         17.310		         -2.116		         -7.357		         -4.833		         -3.276		          0.994		         -4.888		         -0.000		         -3.894
              2		             14		          7.365		         14.000		         16.143		         -2.147		         -7.186		         -5.272		         -2.558		          1.029		         -5.088		         -0.000		         -4.059
              2		             15		          7.365		         14.000		         16.143		         -2.147		         -7.186		         -5.272		         -2.558		          1.029		         -5.088		         -0.000		         -4.059
              2		             16		         10.212		         16.847		         28.580		         -1.892		         -6.530		         -3.168		         -3.228		            nan		            nan		          0.000		            nan
