# Generated by LORRAX unknown at 2026-07-20 22:59:40 UTC
# G0W0 diagonal energies (eV)
# columns: band  E_DFT  Re[H0+Sigma_xc(E_DFT)]  Im[H0+Sigma_xc(E_DFT)]

k-point 0:
--------------------------------------------------------------------------------
n=87   E_DFT=   21.222137  Re=   70.672098  Im=875563.496916
n=88   E_DFT=   22.748407  Re=   99.831772  Im=513853.771865
n=89   E_DFT=   22.748408  Re=   99.623362  Im=571889.585720
n=90   E_DFT=   22.758950  Re=  164.253198  Im=329130.824242
n=91   E_DFT=   22.758951  Re=  164.003895  Im=607258.594975
n=92   E_DFT=   22.917923  Re=   54.555756  Im=-103886.910129
n=93   E_DFT=   22.917926  Re=   52.979974  Im=280546.494558
n=94   E_DFT=   22.949453  Re=  117.195861  Im=-185489.335640
n=95   E_DFT=   22.949453  Re=  117.289470  Im=-258686.511539
n=96   E_DFT=   24.063734  Re=   85.057195  Im=-221738.450440
n=97   E_DFT=   24.063736  Re=   84.894046  Im=-195490.410875
n=98   E_DFT=   24.084717  Re=  121.942404  Im=1102281.875029
n=99   E_DFT=   24.084718  Re=  121.732786  Im=1138236.573725

k-point 3:
--------------------------------------------------------------------------------
n=0    E_DFT=  -65.500819  Re= -140.893417  Im=-87397.762554
n=1    E_DFT=  -65.500819  Re= -139.525146  Im=87392.747370
n=2    E_DFT=  -42.217310  Re=  -57.886480  Im=15635721.329772
n=3    E_DFT=  -42.217310  Re=  -65.673790  Im=-16441093.626697
n=4    E_DFT=  -39.734211  Re=  -44.034689  Im=10981224.722944
n=5    E_DFT=  -39.734211  Re=  -48.040997  Im=-10144184.806046
n=6    E_DFT=  -39.546668  Re=  -76.555030  Im=31149769.501309
n=7    E_DFT=  -39.546668  Re=  -77.362051  Im=-31225647.008686
n=8    E_DFT=  -17.504561  Re=  -18.681730  Im=133944.692037
n=9    E_DFT=  -17.504561  Re=  -18.711354  Im=-129304.621314
n=10   E_DFT=  -17.384382  Re=  -20.071820  Im=48121.822539
n=11   E_DFT=  -17.384382  Re=  -20.107868  Im=-45753.342079
n=12   E_DFT=  -11.087343  Re=  -10.092197  Im= 1743.875032
n=13   E_DFT=  -11.087343  Re=  -10.065142  Im=-3021.583435
n=14   E_DFT=  -10.190433  Re=  -13.572704  Im= 3385.791741
