# Generated by LORRAX 0.1.0 at 2026-05-16 19:19:18 UTC
# Sigma frequency debug decomposition (per-(k, n) diagonals; all energies in eV).
# k               	n               	E_dft           	Edft-Ef         	kin_ion         	V_H             	x_bare          	x_head          	sex_0           	coh_0           	eqp0            	eqp1            

k-point 0:
               2	              41	      +32.007308	      +32.007308	      +42.183624	       +1.497008	       -0.948335	       +0.000000	       -0.948335	       +0.000000	      +41.783963	      +41.783963
               2	              42	      +32.719897	      +32.719897	      +41.046060	       +1.408700	       -1.648056	       +0.000000	       -1.648056	       +0.000000	      +39.158648	      +39.158648
               2	              43	      +32.719897	      +32.719897	      +41.046060	       +1.408700	       -1.648056	       +0.000000	       -1.648056	       +0.000000	      +39.158648	      +39.158648
               2	              44	      +32.720678	      +32.720678	      +41.045233	       +1.412655	       -1.647547	       +0.000000	       -1.647547	       +0.000000	      +39.162793	      +39.162793
               2	              45	      +32.720678	      +32.720678	      +41.045233	       +1.412655	       -1.647547	       +0.000000	       -1.647547	       +0.000000	      +39.162793	      +39.162793
               2	              46	      +33.750627	      +33.750627	      +40.763040	       +4.082047	       -1.857589	       +0.000000	       -1.857589	       +0.000000	      +41.129908	      +41.129908
               2	              47	      +33.750627	      +33.750627	      +40.763040	       +4.082047	       -1.857589	       +0.000000	       -1.857589	       +0.000000	      +41.129908	      +41.129908
               2	              48	      +33.789908	      +33.789908	      +40.793621	       +4.108888	       -1.861350	       +0.000000	       -1.861350	       +0.000000	      +41.179809	      +41.179809
               2	              49	      +33.789908	      +33.789908	      +40.793621	       +4.108888	       -1.861350	       +0.000000	       -1.861350	       +0.000000	      +41.179809	      +41.179809
               2	              50	      +34.628896	      +34.628896	      +45.905551	       -3.456171	       -0.774069	       +0.000000	       -0.774069	       +0.000000	      +40.901243	      +40.901243
               2	              51	      +34.628896	      +34.628896	      +45.905551	       -3.456171	       -0.774069	       +0.000000	       -0.774069	       +0.000000	      +40.901243	      +40.901243
               2	              52	      +37.451043	      +37.451043	      +44.953050	       +2.326939	       -1.898603	       +0.000000	       -1.898603	       +0.000000	      +43.482782	      +43.482782
               2	              53	      +37.451043	      +37.451043	      +44.953050	       +2.326939	       -1.898603	       +0.000000	       -1.898603	       +0.000000	      +43.482782	      +43.482782
               2	              54	      +38.629060	      +38.629060	      +48.127022	       -2.296517	       -0.900232	       +0.000000	       -0.900232	       +0.000000	      +44.030041	      +44.030041
               2	              55	      +38.629060	      +38.629060	      +48.127022	       -2.296517	       -0.900232	       +0.000000	       -0.900232	       +0.000000	      +44.030041	      +44.030041

k-point 3:
               3	               0	       -4.897281	       -4.897281	       +2.488941	       +3.449872	      -17.489123	       -2.590893	      -17.489123	       +0.000000	      -29.039433	      -29.039433
               3	               1	       -4.897281	       -4.897281	       +2.488941	       +3.449872	      -17.489123	       -2.590893	      -17.489123	       +0.000000	      -29.039433	      -29.039433
