# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.07749573E+01  -9.98493610E+00   7.90021158E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.08944670E+00   1.05842719E+00  -3.10195076E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      9  -5.05272179E+00  -2.99255501E+00   2.06016677E+00
     10  -5.16728388E+00  -4.40258285E+00   7.64701024E-01
     11  -5.31601724E+00  -4.53721411E+00   7.78803131E-01
     12  -5.46714264E+00  -4.72657130E+00   7.40571336E-01
     13  -5.61040052E+00  -4.92283012E+00   6.87570399E-01
     14  -5.76592677E+00  -5.05750753E+00   7.08419235E-01
     15  -5.84208881E+00  -5.31078094E+00   5.31307866E-01
     16  -5.93119137E+00  -5.50286180E+00   4.28329571E-01
     17  -6.09355756E+00  -5.60745664E+00   4.86100917E-01
     18  -6.24928430E+00  -5.70368655E+00   5.45597747E-01
     19  -6.43827803E+00  -5.77685391E+00   6.61424113E-01
     20  -6.61496084E+00  -5.84169162E+00   7.73269225E-01
     21  -6.71227485E+00  -5.95396197E+00   7.58312876E-01
     22  -6.78625525E+00  -6.05482760E+00   7.31427647E-01
     23  -6.91083210E+00  -6.13874071E+00   7.72091395E-01
     24  -7.03739227E+00  -6.22361629E+00   8.13775978E-01
     25  -7.16928343E+00  -6.38418008E+00   7.85103344E-01
     26  -7.30301142E+00  -6.54934293E+00   7.53668490E-01
     27  -7.40973345E+00  -6.75991295E+00   6.49820498E-01
     28  -7.51128503E+00  -6.95714000E+00   5.54145030E-01
     29  -7.56923800E+00  -7.02312090E+00   5.46117097E-01
     30  -7.62761812E+00  -7.08788079E+00   5.39737330E-01
     31  -7.69019545E+00  -7.13665766E+00   5.53537796E-01
     32  -7.75234543E+00  -7.18665625E+00   5.65689181E-01
     33  -7.79273774E+00  -7.23280698E+00   5.59930765E-01
     34  -7.83225449E+00  -7.27583270E+00   5.56421788E-01
     35  -7.87291117E+00  -7.32100287E+00   5.51908304E-01
     36  -7.91325741E+00  -7.36382721E+00   5.49430201E-01
     37  -7.97475954E+00  -7.41783032E+00   5.56929216E-01
     38  -8.02868863E+00  -7.47795883E+00   5.50729794E-01
     39  -8.07356146E+00  -7.53886123E+00   5.34700227E-01
     40  -8.12590508E+00  -7.59370830E+00   5.32196781E-01
     41  -8.15257013E+00  -7.64700796E+00   5.05562170E-01
     42  -8.17267573E+00  -7.69187164E+00   4.80804090E-01
     43  -8.21889367E+00  -7.74563792E+00   4.73255750E-01
     44  -8.25788627E+00  -7.79086411E+00   4.67022165E-01
     45  -8.32065811E+00  -7.83903450E+00   4.81623612E-01
     46  -8.37646294E+00  -7.87942000E+00   4.97042943E-01
     47  -8.42659302E+00  -7.92210312E+00   5.04489901E-01
     48  -8.48280711E+00  -7.97974199E+00   5.03065126E-01
     49  -8.54293885E+00  -8.01747115E+00   5.25467697E-01
     50  -8.61760952E+00  -8.05987851E+00   5.57731017E-01
     51  -8.66182147E+00  -8.09258284E+00   5.69238624E-01
     52  -8.69831227E+00  -8.11577160E+00   5.82540670E-01
