# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.55905759E+00  -7.99330345E+00   5.65754139E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.16098839E+00   1.26239131E+00   1.01402923E-01
#    Nb          CH(vbm)          CH(cbm)             diff
     12  -3.95928458E+00  -2.65032086E+00   1.30896372E+00
     13  -4.20098657E+00  -2.92107751E+00   1.27990905E+00
     14  -4.41426157E+00  -3.22676352E+00   1.18749805E+00
     15  -4.60427378E+00  -3.47593922E+00   1.12833456E+00
     16  -4.79038325E+00  -3.75466135E+00   1.03572190E+00
     17  -4.92177202E+00  -3.91516818E+00   1.00660384E+00
     18  -5.06064425E+00  -4.06039773E+00   1.00024652E+00
     19  -5.21355816E+00  -4.19274680E+00   1.02081137E+00
     20  -5.36176358E+00  -4.32677876E+00   1.03498482E+00
     21  -5.45721255E+00  -4.46291725E+00   9.94295303E-01
     22  -5.55319484E+00  -4.58888171E+00   9.64313127E-01
     23  -5.65009913E+00  -4.69542151E+00   9.54677618E-01
     24  -5.74936234E+00  -4.80096250E+00   9.48399837E-01
     25  -5.82350296E+00  -4.90956402E+00   9.13938940E-01
     26  -5.89274734E+00  -5.01488110E+00   8.77866238E-01
     27  -5.95996548E+00  -5.10034734E+00   8.59618141E-01
     28  -6.03278349E+00  -5.18920021E+00   8.43583280E-01
     29  -6.09694784E+00  -5.26341968E+00   8.33528161E-01
     30  -6.16314973E+00  -5.33331852E+00   8.29831213E-01
     31  -6.23204535E+00  -5.39616950E+00   8.35875856E-01
     32  -6.30271735E+00  -5.45504115E+00   8.47676203E-01
     33  -6.36550333E+00  -5.51672097E+00   8.48782359E-01
     34  -6.42916544E+00  -5.57972348E+00   8.49441960E-01
     35  -6.48116834E+00  -5.63801457E+00   8.43153767E-01
     36  -6.53368876E+00  -5.69482369E+00   8.38865067E-01
     37  -6.58569541E+00  -5.75205568E+00   8.33639727E-01
     38  -6.63705220E+00  -5.81004336E+00   8.27008835E-01
     39  -6.68512586E+00  -5.85407196E+00   8.31053894E-01
     40  -6.73319120E+00  -5.89939461E+00   8.33796586E-01
     41  -6.76940933E+00  -5.93944778E+00   8.29961546E-01
     42  -6.80564869E+00  -5.97953343E+00   8.26115268E-01
     43  -6.84484448E+00  -6.01798487E+00   8.26859609E-01
     44  -6.88584702E+00  -6.05844468E+00   8.27402346E-01
     45  -6.92065292E+00  -6.09325615E+00   8.27396765E-01
     46  -6.95407315E+00  -6.12780165E+00   8.26271500E-01
     47  -6.98140365E+00  -6.16006266E+00   8.21340993E-01
     48  -7.00830992E+00  -6.19200352E+00   8.16306401E-01
     49  -7.04859632E+00  -6.22395982E+00   8.24636503E-01
     50  -7.08755361E+00  -6.25609060E+00   8.31463010E-01
     51  -7.11966728E+00  -6.28339259E+00   8.36274695E-01
     52  -7.14944170E+00  -6.31064029E+00   8.38801415E-01
     53  -7.17848783E+00  -6.33881101E+00   8.39676825E-01
     54  -7.20957093E+00  -6.36779939E+00   8.41771547E-01
     55  -7.23015729E+00  -6.39200347E+00   8.38153823E-01
     56  -7.25068292E+00  -6.41772698E+00   8.32955937E-01
     57  -7.27016270E+00  -6.43784874E+00   8.32313962E-01
     58  -7.28940770E+00  -6.45782258E+00   8.31585128E-01
     59  -7.30854020E+00  -6.47876275E+00   8.29777452E-01
     60  -7.32837972E+00  -6.50056035E+00   8.27819364E-01
# k =   0.000000   0.500000   0.500000 spin = 1
