# Generated by LORRAX 0.1.0 at 2026-05-06 01:45:58 UTC
# Sigma output (all in eV)
# sigTOT = sigSX + sigCOH

k-point 0:
----------------------------------------------------------------------------------------------------
n=0   sigSX=   -4.477755+ -0.000000i  sigCOH=   -7.814319+  0.000000i  sigTOT=  -12.292074+ -0.000000i  VH=    4.577023+  0.009093i
n=1   sigSX=   -4.477755+ -0.000000i  sigCOH=   -7.814319+  0.000000i  sigTOT=  -12.292074+ -0.000000i  VH=    4.577023+  0.009093i
n=2   sigSX=   -3.915933+ -0.000000i  sigCOH=   -7.285811+  0.000000i  sigTOT=  -11.201743+ -0.000000i  VH=    2.912453+  0.002931i
n=3   sigSX=   -3.915933+ -0.000000i  sigCOH=   -7.285811+  0.000000i  sigTOT=  -11.201743+ -0.000000i  VH=    2.912453+  0.002931i
n=4   sigSX=   -4.147052+ -0.000000i  sigCOH=   -6.989047+  0.000000i  sigTOT=  -11.136099+ -0.000000i  VH=    5.037796+  0.010086i
n=5   sigSX=   -4.147052+ -0.000000i  sigCOH=   -6.989047+  0.000000i  sigTOT=  -11.136099+ -0.000000i  VH=    5.037796+  0.010086i
n=6   sigSX=   -4.143916+ -0.000000i  sigCOH=   -7.107536+  0.000000i  sigTOT=  -11.251452+ -0.000000i  VH=    5.038012+  0.009159i
n=7   sigSX=   -4.143916+ -0.000000i  sigCOH=   -7.107536+  0.000000i  sigTOT=  -11.251452+ -0.000000i  VH=    5.038012+  0.009159i
n=8   sigSX=   -2.304419+ -0.000000i  sigCOH=   -6.429400+  0.000000i  sigTOT=   -8.733819+  0.000000i  VH=    2.861427+ -0.002432i
n=9   sigSX=   -2.304419+ -0.000000i  sigCOH=   -6.429400+  0.000000i  sigTOT=   -8.733819+  0.000000i  VH=    2.861427+ -0.002432i
n=10  sigSX=   -1.967843              sigCOH=   -6.013622+  0.000000i  sigTOT=   -7.981465+  0.000000i  VH=    1.364316+ -0.006277i
n=11  sigSX=   -1.967843              sigCOH=   -6.013622+  0.000000i  sigTOT=   -7.981465+  0.000000i  VH=    1.364316+ -0.006277i
n=12  sigSX=   -1.966652              sigCOH=   -6.096452+  0.000000i  sigTOT=   -8.063104+  0.000000i  VH=    1.356446+ -0.006758i
n=13  sigSX=   -1.966652              sigCOH=   -6.096452+  0.000000i  sigTOT=   -8.063104+  0.000000i  VH=    1.356446+ -0.006758i
n=14  sigSX=   -1.338201+ -0.000000i  sigCOH=   -4.562663+  0.000000i  sigTOT=   -5.900864+ -0.000000i  VH=   -3.118914+ -0.002555i
n=15  sigSX=   -1.338201+ -0.000000i  sigCOH=   -4.562663+  0.000000i  sigTOT=   -5.900864+ -0.000000i  VH=   -3.118914+ -0.002555i

k-point 3:
