
 frequency_dependence   0

 band_index     1    16
 sigma_matrix     0   0

 finite_difference_form  -2

 symmetries
 ntran  =  1
 mtrx01 =  1  0  0  0  1  0  0  0  1
 
       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n            Emf             Eo              X           SX-X             CH            Sig            KIH           Eqp0           Eqp1            CH`           Sig`          Eqp0`          Eqp1`            Znk
   5    3.412332482    3.412332482  -13.262303122    9.594570073   -9.339750065  -13.007483113   14.297996443    1.290513330    1.290513330   -8.426600177  -12.094333226    2.203663217    2.203663217    1.000000000
   6    3.412332482    3.412332482  -13.262303122    9.594570073   -9.339750065  -13.007483113   14.297996443    1.290513330    1.290513330   -8.426600177  -12.094333226    2.203663217    2.203663217    1.000000000
   7    3.412332482    3.412332482  -13.262303122    9.594570073   -9.339750065  -13.007483113   14.297996443    1.290513330    1.290513330   -8.426600177  -12.094333226    2.203663217    2.203663217    1.000000000
   8    3.412332482    3.412332482  -13.262303122    9.594570073   -9.339750065  -13.007483113   14.297996443    1.290513330    1.290513330   -8.426600177  -12.094333226    2.203663217    2.203663217    1.000000000
   9    6.968806361    6.968806361   -4.201194557    2.431640794   -8.241551176  -10.011104940   16.146090671    6.134985731    6.134985731   -7.370539252   -9.140093016    7.005997655    7.005997655    1.000000000
  10    6.968806361    6.968806361   -4.201194557    2.431640794   -8.241551176  -10.011104940   16.146090671    6.134985731    6.134985731   -7.370539252   -9.140093016    7.005997655    7.005997655    1.000000000
  11    6.968806361    6.968806361   -4.201194557    2.431640794   -8.241551176  -10.011104940   16.146090671    6.134985731    6.134985731   -7.370539252   -9.140093016    7.005997655    7.005997655    1.000000000
  12    6.968806361    6.968806361   -4.201194557    2.431640794   -8.241551176  -10.011104940   16.146090671    6.134985731    6.134985731   -7.370539252   -9.140093016    7.005997655    7.005997655    1.000000000
  13   16.360897211   16.360897211   -3.769921622    1.892342383   -9.544822487  -11.422401727   27.465362154   16.042960427   16.042960427   -7.749843724   -9.627422963   17.837939190   17.837939190    1.000000000
  14   16.360897211   16.360897211   -3.769921622    1.892342383   -9.544822487  -11.422401727   27.465362154   16.042960427   16.042960427   -7.749843724   -9.627422963   17.837939190   17.837939190    1.000000000
  15   16.360897211   16.360897211   -3.769921622    1.892342383   -9.544822487  -11.422401727   27.465362154   16.042960427   16.042960427   -7.749843724   -9.627422963   17.837939190   17.837939190    1.000000000
