# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -1.00216810E+01  -9.59085502E+00   4.30826025E-01
# Error est. for CH(vbm) CH(cbm) diff =   1.07074777E+00   1.30840210E+00   2.37654336E-01
#    Nb          CH(vbm)          CH(cbm)             diff
      7  -3.38832168E+00  -1.36510691E+00   2.02321478E+00
      8  -4.92694402E+00  -1.50685154E+00   3.42009248E+00
      9  -5.03144498E+00  -2.97996167E+00   2.05148331E+00
     10  -5.14467999E+00  -4.38796395E+00   7.56716032E-01
     11  -5.29215993E+00  -4.52083949E+00   7.71320443E-01
     12  -5.44207855E+00  -4.70843344E+00   7.33645117E-01
     13  -5.58383056E+00  -4.90305527E+00   6.80775289E-01
     14  -5.73783336E+00  -5.03624974E+00   7.01583623E-01
     15  -5.81276967E+00  -5.28804918E+00   5.24720493E-01
     16  -5.90063279E+00  -5.47881098E+00   4.21821816E-01
     17  -6.06115402E+00  -5.58120364E+00   4.79950384E-01
     18  -6.21499040E+00  -5.67531376E+00   5.39676642E-01
     19  -6.40211382E+00  -5.74658429E+00   6.55529529E-01
     20  -6.57686886E+00  -5.80960719E+00   7.67261661E-01
     21  -6.67233970E+00  -5.92033196E+00   7.52007736E-01
     22  -6.74441943E+00  -6.01981712E+00   7.24602308E-01
     23  -6.86747353E+00  -6.10229850E+00   7.65175031E-01
     24  -6.99251597E+00  -6.18572843E+00   8.06787539E-01
     25  -7.12276631E+00  -6.34466043E+00   7.78105876E-01
     26  -7.25478130E+00  -6.50828306E+00   7.46498239E-01
     27  -7.35979772E+00  -6.71755554E+00   6.42242183E-01
     28  -7.45986423E+00  -6.91322492E+00   5.46639312E-01
     29  -7.51661600E+00  -6.97765804E+00   5.38957960E-01
     30  -7.57377148E+00  -7.04087435E+00   5.32897132E-01
     31  -7.63478413E+00  -7.08826421E+00   5.46519921E-01
     32  -7.69539287E+00  -7.13687159E+00   5.58521287E-01
     33  -7.73483379E+00  -7.18167842E+00   5.53155370E-01
     34  -7.77334890E+00  -7.22343245E+00   5.49916451E-01
     35  -7.81304762E+00  -7.26730441E+00   5.45743214E-01
     36  -7.85238999E+00  -7.30889338E+00   5.43496605E-01
     37  -7.91256717E+00  -7.36176923E+00   5.50797934E-01
     38  -7.96517087E+00  -7.42041869E+00   5.44752178E-01
     39  -8.00865437E+00  -7.47980698E+00   5.28847393E-01
     40  -8.05960886E+00  -7.53348767E+00   5.26121193E-01
     41  -8.08517544E+00  -7.58555243E+00   4.99623012E-01
     42  -8.10415067E+00  -7.62905725E+00   4.75093420E-01
     43  -8.14865757E+00  -7.68165587E+00   4.67001705E-01
     44  -8.18591111E+00  -7.72558355E+00   4.60327560E-01
     45  -8.24679007E+00  -7.77243388E+00   4.74356194E-01
     46  -8.30078888E+00  -7.81136377E+00   4.89425107E-01
     47  -8.34922574E+00  -7.85240296E+00   4.96822778E-01
     48  -8.40362037E+00  -7.90859005E+00   4.95030317E-01
     49  -8.46182180E+00  -7.94493758E+00   5.16884219E-01
     50  -8.53463598E+00  -7.98595209E+00   5.48683884E-01
     51  -8.57751262E+00  -8.01748178E+00   5.60030847E-01
     52  -8.61261301E+00  -8.03960659E+00   5.73006415E-01
     53  -8.65118139E+00  -8.06730644E+00   5.83874949E-01
     54  -8.68909130E+00  -8.09413051E+00   5.94960793E-01
     55  -8.70342571E+00  -8.11568112E+00   5.87744593E-01
     56  -8.71787929E+00  -8.13697223E+00   5.80907056E-01
     57  -8.73752848E+00  -8.15922513E+00   5.78303354E-01
     58  -8.75974392E+00  -8.18200495E+00   5.77738972E-01
     59  -8.78029674E+00  -8.20199175E+00   5.78304989E-01
     60  -8.80322973E+00  -8.22245871E+00   5.80771024E-01
     61  -8.81693050E+00  -8.23756918E+00   5.79361320E-01
     62  -8.83341549E+00  -8.26192181E+00   5.71493679E-01
     63  -8.85227215E+00  -8.29271955E+00   5.59552598E-01
     64  -8.87059858E+00  -8.32171375E+00   5.48884830E-01
     65  -8.88630677E+00  -8.33949496E+00   5.46811806E-01
     66  -8.90229528E+00  -8.35587812E+00   5.46417159E-01
     67  -8.92006844E+00  -8.37384301E+00   5.46225427E-01
     68  -8.93604743E+00  -8.39985429E+00   5.36193137E-01
